!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
dear artist, could you play us one of your tunes?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
dear master clockmaker, we'd like to see your talent at work...	¿Ë·Rªº¤j®v¡A·Q¨£ÃÑ±zªº¤âÃÀ¡K¡K
dear musician, could you play us one of your tunes?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
dear sir, you look powerful, could you please help us in this quest?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
dear sir, you look powerful. could you please help us in this quest?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
debemos encontrar al hijo del rey angulafre, raptado por un demonio.	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
deinen unbezahlbaren rat, verehrter magier! wohin sollen wir uns wenden?	¦hÁÂ«üÂI¡A¸Ó©¹­ş¨«¡H
dem riesen ist der zugang zum dorf vom magier tazaar versperrt worden. er trank zuviel, und liess keinen der bewohner mehr hinaus. um sich ihm zu n„hern, muss man den hund mit der wurst zeitweilig ausser gefecht setzen: wurst in das schlagloch auf der strasse schieben. nur der verlockende geruch und gedanke an ein warmes essen kann seine laune aufbessern! danach k”nnen fingus & winkle ihm speise und trank anbieten.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
demasiado arriesgado. hay que asustarlo m s.	¤Ó«_ÀI¤F¡I±o¦A¦hÀ~À~¥L¡K¡K
denn zwei tapfere helden werden ihr glck wagen!	¦]¬°¨â¦ì¤j­^¶¯­n¥X°¨¤F¡I
der heini ist immer noch zu wachsam - den Mssten wir anders besch„ftigen!	³o³Ã¥ë¤ÓÄµÄ±¤F¡A±o¤Ş¶}¥L¡K¡K
der neue k”nig isst sonst nichts! ich schieb'se ins loch unten an der treppe!	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
der vor schmerz gebrochene, untr”stliche vater...	¥i¼¦¦Ñª¨µh¤£±ı¥Í¡K¡K
descolgadme y tratar‚ a ese demonio como lo merece...	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
desde luego ­pero vds s¡ que pueden utilizar la tarjeta m gica para ello!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
desidera?	¦³¤°»ò¨Æ¶Ü¡H
devi solo seguirlo, superman! ora si trova nel paese dei morti!	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
dich will man wohl etwa auch fressen?	¥L­Ì¤]·Q¦Y§A¡H
die gobliins kehrten im triumph ins dorf zuršck, als sie sahen, dass der narr ganz seltsam aussah ...	¤pºëÆF³Í±Û¦^§ø¡A«o¨£¤p¤¡¯«¦â¦³²§¡K¡K
dieser teufel hat unseren guten K”nig entmachtet und regiert an seiner stelle	¨e¿y¤F¤ı¦ì¡A´«¦Û¤v·í®a¡K¡K
dime maim¢nides, ¨no conoces una treta para hacer caer al demonio?	³Ş¡A·R¦]´µ©Z¡A§A¦³¨S¦³¿ìªk§x¦í¨º´cÅ]¡H
dimmi un po' Einstein, non conosceresti il modo per intrappolare quel demone?	³Ş¡A·R¦]´µ©Z¡A§A¦³¨S¦³¿ìªk§x¦í¨º´cÅ]¡H
dis-donc einstein, tu ne connaŒtrais pas un truc pour pi‚ger le d‚mon?	³Ş¡A·R¦]´µ©Z¡A§A¦³¨S¦³¿ìªk§x¦í¨º´cÅ]¡H
dis-donc fain‚ant, t'as pas envie de nous gratter un p'tit air?	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
dis-donc minus laisse-moi tranquille! j'essaie d'oublier ma faim et ma soif!	³Ş¡A²Â³J¡I§O·Ğ§Ú¡A§Ú¥¿§Ñ°O°§´÷©O¡C
dites-voir la m‚nagŠre, vous n'auriez pas un panier?	³Ş¡A¤jÂT¡A¦³Äx¤l­É¤@¤U¶Ü¡H
do you live with your parents?	§AÁÙ¸òª¨¶ı¦í³á¡H
dov'Š l'uscita, ammasso d'ossa?!	¥X¤f¦b­ş¡A¾uÅ\°ï¡H
dove vive un gigante orrendo incarnazione del male...	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
dreadful demon who is the incarnation of all evil!	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
dreadful demon who's the incarnation of all evil!	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
du meinst vielleicht, du k„mst hier wieder raus! vergiss es!ist meine rache	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
du vergeudest deine zeit, schwachkopf! hier gibt's doch bloss sanduhren...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
due eroi di grande valore si lanciano nell'avventura!	¦]¬°¨â¦ì¤j­^¶¯­n¥X°¨¤F¡I
dur! on nous bouffe constamment ici! Au fait vous n'avez pas vu mon frŠre?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
durchaus drin, kleiner, aber zum ™ffnen braucht man da schon gute muskeln!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
d‚crochez-moi que je puisse corriger ced‚mon comme il le m‚rite...	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
d‚livrez-moi! d‚livrez-moi! mon amour m'attend au dehors!	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
e adesso, nobile mago, che cosa possiamo fare?	´L¶QªºÅ]ªk®v¡A²{¦b§Ú­Ì¯à°µ¤°»ò¡H
e allora fannullone, non vorresti strimpellarci un'arietta!	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
e allora, che cosa aspetti? forza, al lavoro!	ÁÙµ¥¤°»ò¡H§Ö¥h°µ¨Æ¡AÃi°©ÀY¡I
e allora, vecchi salami, perch‚fate il muso?	§A­Ì¨â­Ó²Â³J·F¹À³o¼ËÀü§Ú¡H
e chi mi dice che volete andarci per dei giusti motivi?	½Ö»¡§A­Ì¥h¨º¬O¦³¥¿·í²z¥Ñ¡H
e mi mettessi qualcosa in tasca prima di mandar gi— questa schifezza?	³Ü³o°­ªF¦è«e¡A¥ı®³­Ó¬ö©À«~¦n¤F¡H
e perch‚ dovrei aiutarti, insolente, con i tuoi modi cos loschi...	¦º¤p¤l¡A§Ú·F¹ÀÀ°§A¡H§A©Ç©Çªº¡K¡K
ebBene eccovi di ritorno al villaggio! oltre questa porta, troverete Tazaar!	§A­Ì¦^§ø¤l°Õ¡I³o®°ªù³q©¹¶ğÂÄº¸¡I
ebbene, piccoli gobliins! che cosa volete da me?	¼K¡A¤p°­­Ì¡A·Q·F¹À¡H
eccellente! mettetelo nella macchina che fa sogni in musica ,e assaggiatene!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
ecco fatto! c'Š del lavoro per te, artista!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
ecco, vendiamo delle spazzole ...	¨ä¹ê¡A§Ú­Ì¬O¨Ó½æ¨ê¤lªº¡K¡K
eh, amigo, ¨ser¡as capaz de sacarle unos sonidos a tu mugidora?	¼K¡A¯à¥Î§A¨º¯}³â¥z§j¤@¤U¶Ü¡H
ehi amico, sapresti tirar fuori un qualche suono dal tuo trombone?	¼K¡A¯à¥Î§A¨º¯}³â¥z§j¤@¤U¶Ü¡H
ehi tipaccio,si sta meno bene qua che laggi— nel castello, eh?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
ehi voi del villaggio, conoscete la casa del signor tazaar?	³Ş¡I§Aª¾¹D¶ğÂÄº¸¤j¤H¦í­ş¶Ü¡H
ehi! mago, dacci un po' una mano. credi forse che sia facile?	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
ehi, credo che ci siamo lasciati dietro una cosa importante!	ÕÙ¡A§Ú­Ì¦n¹³§Ñ¤F®³­«­nªºªF¦è¡I
ehi, onisco, prostrati davanti al tuo dio!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
ehi, tu bell'ometto cosa fai appollaiato lass—?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
ehil…, vecchia foca, Š modemus il magico che ci manda!	¼K¡A¦Ñ®ü°\¡A¼¯¼w©i´µ¬£§Ú­Ì¨Ó§ä§A¡I
ein verhextes schloss in einer dsteren gegend...	¯î¦a¸Ì¦³®y³Q¶A©Gªº«°³ù
eine kerze... lohnt sich doch nicht, so einen grossen aufwand mit zu machen	¤@®ÚÄúÀë¡H¨S¤°»ò¤j¤£¤Fªº¡I
el Pr¡ncipe buf¢n, al ingerir un hongo sopor¡fico, se lleva a los gobliins en su sue¤o l£dico. Para extraerlo de la burbuja en la cual ls gobliins han tomado la precauci¢n de encerrarlo, tendr n que procurarse un imperdible valiendose del efecto de catapulta de una tapadera, colocandose encima con un bolo.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
el dolor insoportable de un padre abatido...	¥i¼¦¦Ñª¨µh¤£±ı¥Í¡K¡K
elgigante, que fue desterrado del pueblo por tazaar el mago, debido a sus constantes borra- cheras no deja salir a nadie. para acercarse a ‚l hay que cargarsemoment neamente al perro, lo cual se consigue atravesando el salchich¢n en uno de los pozos de la carretera. Solo el tufillo de una comida caliente puede ponerlo de buen humor. acto seguido fingus y winkle le podr n dar de beber y comer.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
empruntez-donc le tapis pour venir me voir. D'ici je ne vous entends pas!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
en los aleda¤os del castillo maldito todo est  estropeado. al entrar por una de las puertas del arbol de los relojes, es dif¡cil prever por d¢nde se saldr ... para hacer que se abra la puerta de tom, el maestro relojero, es preciso contar con la ayuda del alcalde, del que hay que llamar la atenci¢n. pero tom entregar  a los gobliins un ejemplar de su saber s¢lo si sustituyen el tic-tac disonante del reloj por una melod¡a compuesta por m£sicos con talento.	«°³ùªşªñ¥ş¶Ã¤F®M¡A¨«¶iÄÁ¾ğªºªù¡A¥X¨Ó·|¨ì­ş½Ö¤]»¡¤£·Ç¡C­nÅıÄÁ¿ö¤j®v´ö©i¶}ªù¡A±o¥ı¥Î®ğ²y¤Ş¶}§øªøªºª`·N¤O¡C¦ı´ö©i±oµ¥¥L­Ì§â®ÉÄÁ¨ë¦ÕªººwµªÁn´«¦¨´X¦ì¼Ö¤âÃĞªºµu¦±¡A¤~ªÖÅS¤@¤â¡C
entschuldigen sie uns! aber wir mssen ihm helfen, wieder frei zu kommen!	©êºp¡A¦ı§A­Ì±oÀ°§Ú­Ì­«Àò¦Û¥Ñ¡I
es al final de la aldea, la casa con la fuente...	¦b§ø¤lºÉÀY¡A¦³¼Q¬u¨º¶¡¡C
es un sello... ¨que hay?	³o¬O­Ó¦L³¹¡K¡K¨º¤S«ç¼Ë¡H
es una bonita vela pero no tiene mecha...	º}«GªºÄúÀë¡A¥i±¤¨SÀëªä¡C
ese demonio surgido de nada destron¢ a nuestro buen rey y usurpa su trono.	¨e¿y¤F¤ı¦ì¡A´«¦Û¤v·í®a¡K¡K
espŠce d'insolent! si j'en avais un je te le flanquerais l… o— tu penses!	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
estimado se¥or, parece usted ser influyente ¨nos ayudar  en la b£squeda?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
et maintenant noble magicien que pouvons-nous faire?	´L¶QªºÅ]ªk®v¡A²{¦b§Ú­Ì¯à°µ¤°»ò¡H
et pourquoi je t'aiderais insolent, avec tes maniŠres plut“t louches...	¦º¤p¤l¡A§Ú·F¹ÀÀ°§A¡H§A©Ç©Çªº¡K¡K
excellent! mettez-le dans ma machine … faire des rˆves en musique et go–tez!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
excellent! put it in my musical dream machine and have a taste!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
excellent! put it in my musical dream machine and taste!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
excuse me, friend, the demon knocked me out. i have to recover.	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
excusez-moi ami, le d‚mon m'a assomm‚. il faut que je r‚cupŠre...	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
fatevi prestare il tappeto per venire a trovarmi. da qui non vi sento!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
fehlt jetzt noch irgendwas?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
fermati brutto demonio! rendici il principe!	´cÅ]¡A¯¸¦í¡I§â¤p¤¡¤ı¤lÁÙµ¹§Ú­Ì¡I
fingus & winkle benutzen die gnstige bohnen stange zum run- terkommen..	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
fingus & winkle climb down the giant beanstalk provided by good fortune.	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
fingus & winkle climbed down this providen- tial giant beanstalk	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
fingus & winkle descendieron a lo largo de esa providencial jud¡a gigante.	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
fingus & winkle descendirent le long de ce haricot g‚ant providentiel!	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
fingus & winkle scesero lungo questo fagiolo gigante provvidenziale!	¶¶µÛ¥¨¨§ÃÃª¦¤U°k²æ
folg ihm ruhig nach, supermann! der ist jetzt im totenland!	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
frecher kerl! wart nur, ich verpass' dir eine, die vergisst du nie mehr!	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
free me! free me! My love is waiting for me outside!	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
free me! free me! My love waits for me outside!	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
ganz sch”n hartn„ckig! na, gut kommt schon rein!!!	¯u¬O¦ºÄñÄê¥´¡I¦n§a¡A¶i¨Ó§a¡C
ganz und gar nicht, mein lieber, ich nehme bloss mein bad!	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
gehen sie immer im evaskostšm aus?	§A³£³o¼Ë¥ú·È·È¨ì³B¶]³á¡H
geht doch mal zu dem vogel gegenšber: der hat 2 leidenschaften:musik & PIlzE!	¥h¹ï­±§ä¨º°¦³¾¡A¨e·R­µ¼Ö©MÄ¨Û£¡I
geschafft! wir haben den prinzen! auf nimmerwiedersehn!euch gršss ich nicht!	¤Ó¦n¤F¡I¤ı¤l±Ï¦^¨Ó¤F¡A§Ú­Ì°{°Õ¡I
get lost, pinhead! you're in my light, can't you see i'm taking a dip?	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
get lost, pinhead, you're in my light! can't you see i'm taking a dip?	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
go and see the bird over there! he has two passions: music and mushrooms.	¥h¹ï­±§ä¨º°¦³¾¡A¨e·R­µ¼Ö©MÄ¨Û£¡I
go and see tom, our master clockmaker. he'll help you to pass the time...	¥h§äÄÁ¦K´ö©i¡A¥L³ÌÀ´¥´µo®É¶¡¡K¡K
go and work the bellows instead of annoying me!	¥hİµ­·½c°Õ¡A§O¦b³o·Ğ§Ú¡I
good morning ma'am, is it fine down there?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
good morning ma'am, is it nice down there?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
grazie d'aver placato la mia sete! ti permetto di salire sulla mia mano.	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
greetings, blacksmith! we didn't find everything, but it's on it's way...	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
greetings, blacksmith, we didn't find everything, but it's on it's way...	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
greetings, noble scholar! Tell me, how does this machine work?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
guten tag, lieber baum! k™nnten sie uns bitte ihren freundlichen rat geben?	¶Ù¡A¾ğ§B§B¡A¥i¥Hµ¹­Ó«ØÄ³¶Ü¡H
habitado por un repugnante demonio, que encarna el mal.	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
habit‚ par un d‚mon r‚pugnant qui INCARNE le mal...	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
habr¡a que distraer la atenci¢n de los dos viejos hongos.	±o·Q¿ìªk¤Ş¶}³o¨â­Ó¦ÑÀY¤l¡C
hai avuto una bella fortuna, amico mio! un impiego sicuro e di tutto riposo!	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
hallo sch„tzchen, wie w„r's mit'm ksschen? kennst du 'ne abkrzung?	Ä_¨©¡A·Q¿Ë¤@¤U¶Ü¡H§Aª¾¹Dªñ¸ô§a¡I
hallo, alter junge, pust uns doch mal ein paar katzenjammersymphonien!	¼K¡A¯à¥Î§A¨º¯}³â¥z§j¤@¤U¶Ü¡H
hallo, du zwerg, was machst du denn sch™nes da oben?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
hallo, genosse beamter, was gibt's denn hier so sehenswertes?	¶Ù¡A¤½°È­û¤j¤H¡A³oªşªñ¦³¤°»ò¦n¬İªº¡H
hallo, herr baum, gršss dich nochmals! dachte nicht,dich rasch wiederzusehen..	¾ğ¥ı¥Í¡A¤S¨£­±¤F¡I¨S·Q¨ì³o»ò§Ö¡I
halt! stillgestanden, d„mon! rck uns den prinzen raus!!!	´cÅ]¡A¯¸¦í¡I§â¤p¤¡¤ı¤lÁÙµ¹§Ú­Ì¡I
halte-l… d‚mon! rends-nous le prince!	´cÅ]¡A¯¸¦í¡I§â¤p¤¡¤ı¤lÁÙµ¹§Ú­Ì¡I
hartes los! wir werden hier am st„ndig vernascht! haste meinen bruder gesehen?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
hat sich doch gelohnt, mein herzchen! kannst nun meine muskulatur bewundern!	­È±o§a¡AÄ_¨©¡A²{¦b¬İ¨ì§Úªº«Ó¨­§÷¤F¡I
he, du armselige kchenassel! verneig dich vor deinem herrn & gott!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
he, du ekel! ist weniger komfortabel als unten im schloss, was meinst du?!?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
he, du gammelbruder, kratz uns doch mal was auf deiner zigarrenkistevor!	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
he, du wicht, laá mich in ruhe, will hunger und durst verschlafen!	³Ş¡A²Â³J¡I§O·Ğ§Ú¡A§Ú¥¿§Ñ°O°§´÷©O¡C
he, grss dich kollege! hat's geklappt?	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
he, sag mal einstein, kennst du nicht'n trick, um den d„monen reinzulegen?!?	³Ş¡A·R¦]´µ©Z¡A§A¦³¨S¦³¿ìªk§x¦í¨º´cÅ]¡H
he, zaubermeister, hilf uns gef„lligst! so einfach, wie du glaubst, ist's nicht	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
helft mir! kann sie euch nicht zeigen, seit man mir das augenlicht wegnahm!	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
help us find old angoulafre's kid!	À°§Ú­Ì§ä¦Ñ¦w­ô©Ôµáªº¤p«Ä¡I
help us to get out of here, princess of the deep!	²`®ü¤½¥D¡AÀ°§Ú­ÌÂ÷¶}³o¸Ì¡I
hey lazybone, how about some music?	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
hey lazybones, how about some music?	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
hey sporty, lovely weather for a game!	¶Ù¡A¹B°Ê©@¡A¤µ¤Ñ¯u¾A¦X¨Ó¤@³õ¡I
hey ugly, you don't have it as good as up in the castle, do you?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
hey wizard, give us a hand! this isn't easy, you know!	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
hey wizard, give us a hand, it's not easy!	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
hey, could you give us a toot on your flute?	¼K¡A¯à¥Î§A¨º¯}³â¥z§j¤@¤U¶Ü¡H
hey, dumbo! just leave me alone! i'm trying to forget my hunger and thirst.	³Ş¡A²Â³J¡I§O·Ğ§Ú¡A§Ú¥¿§Ñ°O°§´÷©O¡C
hey, einstein, could you give me something to trap the demon?	³Ş¡A·R¦]´µ©Z¡A§A¦³¨S¦³¿ìªk§x¦í¨º´cÅ]¡H
hey, hello again mister tree! didn't expect to see you again so soon!	¾ğ¥ı¥Í¡A¤S¨£­±¤F¡I¨S·Q¨ì³o»ò§Ö¡I
hey, i think we left something important behind!	ÕÙ¡A§Ú­Ì¦n¹³§Ñ¤F®³­«­nªºªF¦è¡I
hey, little gobliins, what d'ya want?	¼K¡A¤p°­­Ì¡A·Q·F¹À¡H
hey, little guy, what are you doing up there?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
hey, ugly, it's less friendly here than up in the castle, no?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
hey-eh, little guy, what are you doing up there?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
hi, my good mayor, what's to be seen around here?	¶Ù¡A¤½°È­û¤j¤H¡A³oªşªñ¦³¤°»ò¦n¬İªº¡H
hier, herr eisenknstler, da sind beide dinge nun beisammen!	¸G¤H¥S§Ì¡A§Ú­Ì¨Ó¤F¡I¨â¼Ë³£®³¨ì¤F¡I
hilf uns hier raus, edle prinzessin der meerestiefen!	²`®ü¤½¥D¡AÀ°§Ú­ÌÂ÷¶}³o¸Ì¡I
hilf uns, den rotzl”ffel von angoulafre zu finden!	À°§Ú­Ì§ä¦Ñ¦w­ô©Ôµáªº¤p«Ä¡I
hinter dem dorf geht zum schloss! aber vorsicht, ein reise bewacht den weg!	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
hmmm! che aspetto succulento! sicuramente far… un buon arrosto!	¶â¡A§A¬İ°_¨Ó«Ü¦n¦Y¡A·|¬O¹D¬ü¨ı¯N¦×¡I
ho qua una mistura che, una volta scaldata, apre tutte le porte	§Ú³o¦³²~ÃÄ¤ô¡A¥[¼ö«á¯à¥´¶}©Ò¦³ªºªù¡I
hochverehrter brgermeister, wem geh”rt das feine haus, das immer zu bleibt?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
hochverehrter magier, gew„hre mir audienz!	´L¶Qªº§Å®v¡A½Ğ®e§Ú­Ì¨D¨£¡C
hola camarada funcionario ¨qu‚ hay en este lugar que merezca visita?	¶Ù¡A¤½°È­û¤j¤H¡A³oªşªñ¦³¤°»ò¦n¬İªº¡H
hold it, demon! give us back the prince!	´cÅ]¡A¯¸¦í¡I§â¤p¤¡¤ı¤lÁÙµ¹§Ú­Ì¡I
hol… camarade fonctionnaire qu'est-ce qu'il y a … voir dans le coin?	¶Ù¡A¤½°È­û¤j¤H¡A³oªşªñ¦³¤°»ò¦n¬İªº¡H
horrible!wretched! inedible! these meat balls are much too spicy!	Ãø¦Y¦º¤F¡I³o¨Ç¦×¤Y»¶¹LÀY¤F¡I
h‚ bien petits gobliins! que me voulez-vous?	¼K¡A¤p°­­Ì¡A·Q·F¹À¡H
h‚ bien vous voici revenus au village! Passez cette porte, elle mŠne … tazaar!	§A­Ì¦^§ø¤l°Õ¡I³o®°ªù³q©¹¶ğÂÄº¸¡I
h‚ je crois qu'on a laiss‚ derriŠre nous un truc important!	ÕÙ¡A§Ú­Ì¦n¹³§Ñ¤F®³­«­nªºªF¦è¡I
h‚ l'affreux, c'est moins accueillant ici que l…-bas au chƒteau hein?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
h‚ l'ami saurais-tu tirer quelques sons de ton beuglant?	¼K¡A¯à¥Î§A¨º¯}³â¥z§j¤@¤U¶Ü¡H
h‚ le magicos aide-nous un peu! si tu crois que c'est facile...	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
